           iperf-1369    [000] ..s..   147.589236: tcp_probe: family=AF_INET src=10.10.1.2:37998 dest=10.10.2.1:5001 mark=0x0 data_len=0 snd_nxt=0xbc61ca9d snd_una=0xbc619779 snd_cwnd=10 ssthresh=2147483647 snd_wnd=65160 srtt=634 rcv_wnd=64256 sock_cookie=4
          <idle>-0       [000] ..s..   147.591920: tcp_probe: family=AF_INET src=10.10.1.2:37998 dest=10.10.2.1:5001 mark=0x0 data_len=0 snd_nxt=0xbc61d5ed snd_una=0xbc6197b5 snd_cwnd=11 ssthresh=2147483647 snd_wnd=65152 srtt=593 rcv_wnd=64256 sock_cookie=4
          <idle>-0       [000] ..s..   147.604008: tcp_probe: family=AF_INET src=10.10.1.2:37998 dest=10.10.2.1:5001 mark=0x0 data_len=0 snd_nxt=0xbc61e6e5 snd_una=0xbc619d5d snd_cwnd=12 ssthresh=2147483647 snd_wnd=63744 srtt=889 rcv_wnd=64256 sock_cookie=4
          <idle>-0       [000] ..s..   147.616096: tcp_probe: family=AF_INET src=10.10.1.2:37998 dest=10.10.2.1:5001 mark=0x0 data_len=0 snd_nxt=0xbc61ec8d snd_una=0xbc61a305 snd_cwnd=13 ssthresh=2147483647 snd_wnd=62336 srtt=2658 rcv_wnd=64256 sock_cookie=4
          <idle>-0       [000] ..s..   147.628029: tcp_probe: family=AF_INET src=10.10.1.2:37998 dest=10.10.2.1:5001 mark=0x0 data_len=0 snd_nxt=0xbc61f7dd snd_una=0xbc61a8ad snd_cwnd=14 ssthresh=2147483647 snd_wnd=60928 srtt=5718 rcv_wnd=64256 sock_cookie=4
          <idle>-0       [000] ..s..   147.640046: tcp_probe: family=AF_INET src=10.10.1.2:37998 dest=10.10.2.1:5001 mark=0x0 data_len=0 snd_nxt=0xbc62032d snd_una=0xbc61ae55 snd_cwnd=15 ssthresh=2147483647 snd_wnd=59520 srtt=9886 rcv_wnd=64256 sock_cookie=4
          <idle>-0       [000] ..s..   147.652120: tcp_probe: family=AF_INET src=10.10.1.2:37998 dest=10.10.2.1:5001 mark=0x0 data_len=0 snd_nxt=0xbc620e7d snd_una=0xbc61b3fd snd_cwnd=16 ssthresh=2147483647 snd_wnd=58112 srtt=15037 rcv_wnd=64256 sock_cookie=4
          <idle>-0       [000] ..s..   147.664152: tcp_probe: family=AF_INET src=10.10.1.2:37998 dest=10.10.2.1:5001 mark=0x0 data_len=0 snd_nxt=0xbc6219cd snd_una=0xbc61b9a5 snd_cwnd=17 ssthresh=2147483647 snd_wnd=56704 srtt=21051 rcv_wnd=64256 sock_cookie=4
          <idle>-0       [000] ..s..   147.676121: tcp_probe: family=AF_INET src=10.10.1.2:37998 dest=10.10.2.1:5001 mark=0x0 data_len=0 snd_nxt=0xbc62251d snd_una=0xbc61bf4d snd_cwnd=18 ssthresh=2147483647 snd_wnd=55296 srtt=27817 rcv_wnd=64256 sock_cookie=4
          <idle>-0       [000] ..s..   147.687916: tcp_probe: family=AF_INET src=10.10.1.2:37998 dest=10.10.2.1:5001 mark=0x0 data_len=0 snd_nxt=0xbc62306d snd_una=0xbc61c4f5 snd_cwnd=19 ssthresh=2147483647 snd_wnd=53888 srtt=35234 rcv_wnd=64256 sock_cookie=4
          <idle>-0       [000] ..s..   147.688854: tcp_probe: family=AF_INET src=10.10.1.2:37970 dest=10.10.2.1:5001 mark=0x0 data_len=0 snd_nxt=0x7b026e49 snd_una=0x7b02357d snd_cwnd=10 ssthresh=2147483647 snd_wnd=65160 srtt=664 rcv_wnd=64256 sock_cookie=5
             cat-1325    [000] ..s..   147.688908: tcp_probe: family=AF_INET src=10.10.1.2:37970 dest=10.10.2.1:5001 mark=0x0 data_len=28 snd_nxt=0x7b0273f1 snd_una=0x7b0235b9 snd_cwnd=11 ssthresh=2147483647 snd_wnd=65152 srtt=13051 rcv_wnd=64256 sock_cookie=5
          <idle>-0       [000] ..s..   147.713121: tcp_probe: family=AF_INET src=10.10.1.2:37970 dest=10.10.2.1:5001 mark=0x0 data_len=0 snd_nxt=0x7b0273f1 snd_una=0x7b0235b9 snd_cwnd=11 ssthresh=2147483647 snd_wnd=65152 srtt=13051 rcv_wnd=64256 sock_cookie=5
